,lat,lon,objectid,treeid,height,spread,diameter,notes,scientific,common,state_id,site_address,date_height,date_spread,circumf,date_circumference,year_designated,date_desig,ownership,neighborhood,neighborhood_cd,plaque_adjustment_date,plaque_notes
239,45.51381856,-122.5843966,239,301,131,72,77,This tree is adjacent to the exit for the parking lot at St. Andrews Care Center.,Sequoia sempervirens,Coast redwood,1S2E05AC  1200,7617 SE MAIN ST,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,20.11,2018/08/10 00:00:00+00,2010,2010/11/10 00:00:00+00,"Private, Front Yard",MONTAVILLA,40,2018/08/10 00:00:00+00,
240,45.54961585,-122.6401551,240,303,60,86,63,This tree is on NE 25th Ave.,Platanus x acerifolia,London planetree,1N1E24CC  10100,2437 NE REGENTS DR,2019/09/06 19:24:57+00,2019/09/06 19:25:12+00,15.4,2019/09/06 19:24:51+00,2010,2010/11/10 00:00:00+00,Right Of Way,ALAMEDA,1,,
241,45.51861479,-122.6349364,241,304,108,93,47,This tree is on the corner of SE Washington St. and SE 30th Ave.,Quercus macrocarpa,Burr oak,1S1E01BA  14700,2921-2955 SE WASHINGTON ST,2018/09/05 00:00:00+00,2018/09/05 00:00:00+00,14.4,2018/09/05 00:00:00+00,2010,2010/11/10 00:00:00+00,Right Of Way,SUNNYSIDE,63,2018/09/05 00:00:00+00,
242,45.54405803,-122.6575935,242,305,88,62,45,,Acer pseudoplatanus,Sycamore maple,1N1E26BC  1600,2923 NE 8TH AVE,2019/09/09 19:17:32+00,2019/09/09 19:17:37+00,12.6,2019/09/09 19:17:41+00,2010,2010/11/10 00:00:00+00,Right Of Way,IRVINGTON,31,2019/09/09 22:07:18+00,"Replaced nails with new hardware (screws, washers and springs)"
243,45.51468837,-122.6037567,243,307,120,43,88,,Sequoiadendron giganteum,Giant sequoia,1S2E06AD  3200,5810 SE Taylor St.,,,23.1,,2011,2011/10/03 00:00:00+00,"Private, Front Yard",MT. TABOR,42,,
244,45.52679655,-122.7282673,244,306,103,42,40,This row of trees is visible to the west of the entrance of the main parking area on NW Cornell.,Metasequoia glyptostroboides,Dawn redwood,1N1E31A   200,Upper Macleay Park,2019/09/11 17:22:18+00,2019/09/11 17:22:09+00,10.7,2019/09/11 17:21:23+00,2011,2011/10/03 00:00:00+00,"Portland Parks & Recreation, (Upper Macleay Park)",FOREST PARK,21,2019/09/11 22:08:33+00,Good condition 
245,45.47451624,-122.7415872,245,309,89,73,55,This tree is fully visible from SW California St.,Cedrus libani ssp. atlantica,Blue Atlas cedar,1S1E19BB  6600,7000 SW 63RD AVE,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,14.4,2018/08/10 00:00:00+00,2011,2011/10/03 00:00:00+00,"Private, Side Yard",MAPLEWOOD,38,2018/08/10 00:00:00+00,
246,45.56954371,-122.6265116,246,310,50,36,19,,Diospyros virginiana,American persimmon,1N1E13DB  1800,6440 NE 36TH AVE,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,5.06,2018/08/10 00:00:00+00,2011,2011/10/03 00:00:00+00,Right Of Way,CONCORDIA,14,2018/08/10 00:00:00+00,
247,45.55717037,-122.6254083,247,311,51,42,26,,Larix kaempferi,Japanese larch,1N1E24AD  3800,4626 NE 37TH AVE,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,6.84,2018/08/10 00:00:00+00,2011,2011/10/03 00:00:00+00,"Private, Front Yard",BEAUMONT-WILSHIRE,7,2018/08/10 00:00:00+00,
248,45.55321093,-122.6691701,248,312,110,115,64,"This tree is a variety of European Beech known as a Copper Beech, Fagus sylvatica f. purpurea.",Fagus sylvatica,European beech,1N1E22DB  16100,4073 N GANTENBEIN AVE,2018/09/11 00:00:00+00,2018/09/11 00:00:00+00,16.8,2018/09/11 00:00:00+00,2013,2013/02/28 00:00:00+00,"Private, Front Yard",BOISE,8,2018/09/11 00:00:00+00,
249,45.51920938,-122.7167559,249,313,103,33,41,This tree is an Oregon Heritage Tree.  It was the first Dawn Redwood to bear cones in the Western hemisphere in 8 million years.,Metasequoia glyptostroboides,Dawn redwood,1S1E05    1000,SW Bary Ln. in Hoyt Arboretum,2019/09/11 16:50:02+00,2019/09/11 16:50:08+00,10.8,2019/09/11 16:51:58+00,2013,2013/02/28 00:00:00+00,Portland Parks & Recreation (Hoyt Arboretum),ARLINGTON HEIGHTS,5,2019/09/11 22:09:21+00,Good condition 
250,45.53387345,-122.7149881,250,314,115,75,47,This tree is visible from the corner of NW 33rd Ave and NW Quimby St.,Quercus palustris,Pin oak,1N1E29CD  15700,1611 NW 32ND AVE,,,12.4,,2013,2013/02/28 00:00:00+00,"Private, Side Yard",NORTHWEST DISTRICT,45,,
251,45.48848187,-122.6257593,251,315,85,65,58,,Aesculus hippocastanum,Common horsechestnut,1S1E13AB  11400,4741 SE 36TH PL,2018/09/06 00:00:00+00,2018/09/06 00:00:00+00,15.3,2018/09/06 00:00:00+00,2014,2014/04/09 00:00:00+00,Right Of Way,REED,53,2018/09/06 00:00:00+00,
252,45.46361386,-122.6924564,252,316,94,80,53,,Fagus sylvatica,European beech,1S1E21CD  5200,1357 SW SPRING GARDEN ST,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,14.7,2018/08/10 00:00:00+00,2014,2014/04/09 00:00:00+00,"Private, Front Yard",SOUTH BURLINGAME,58,2018/08/10 00:00:00+00,
253,45.56970135,-122.6702213,253,317,94,61,44,,Tilia tomentosa,Silver linden,1N1E15DB  3500,408 N ROSA PARKS WAY,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,11.5,2018/08/10 00:00:00+00,2014,2014/04/09 00:00:00+00,Right Of Way,PIEDMONT,49,2018/08/10 00:00:00+00,
254,45.51363653,-122.6368968,254,318,83,118,52,,Ulmus americana,American elm,1S1E01BC  1800,2803 SE MAIN ST,2019/09/03 19:00:12+00,2018/08/24 00:00:00+00,13.8,2019/09/03 19:00:23+00,2015,2015/06/17 00:00:00+00,Right Of Way,SUNNYSIDE,63,2018/08/24 00:00:00+00,
255,45.558085,-122.6469067,255,320,24,30,31,,Prunus armeniaca,Apricot,1N1E23AC  2600,4823 NE 18th Ave,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,8.2,2018/08/10 00:00:00+00,2015,2015/06/17 00:00:00+00,"Private, Front Yard",VERNON,65,2018/08/10 00:00:00+00,
256,45.48698316,-122.6296822,256,321,39,46,39,,Malus x domestica 'Gravenstein',Gravenstein apple,1S1E13AB  16400,5003 SE 34th Ave,2018/09/06 00:00:00+00,2018/09/06 00:00:00+00,10.2,2018/09/06 00:00:00+00,2015,2015/06/17 00:00:00+00,"Private, Front Yard",REED,53,2018/09/06 00:00:00+00,
257,45.58940027,-122.7579038,257,322,70,57,42,,Aesculus hippocastanum,Common horsechestnut,1N1W12BA  10100,8710 N. Willamette Blvd,2019/09/09 20:50:01+00,2019/09/09 20:49:59+00,11.1,2019/09/09 20:50:03+00,2015,2015/06/17 00:00:00+00,Right Of Way,CATHEDRAL PARK,13,2019/09/09 22:10:53+00,Good condition 
258,45.49477032,-122.580216,258,324,51,50,28,publicly owned tree in the right-of-way,Arbutus menziesii,Madrone,1S2E08DA  12300,8018 SE BUSH ST,2019/09/03 20:37:50+00,2019/09/03 20:37:45+00,8,2019/09/03 20:37:38+00,2016,2016/06/01 00:00:00+00,Right Of Way,FOSTER-POWELL,22,2019/09/03 22:12:39+00,Good condition 
259,45.46825048,-122.7240737,259,325,72,41,35,privately owned tree,Metasequoia glyptostroboides,Dawn redwood,1S1E19DA  1000,4600 SW MAPLEWOOD RD,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,9.2,2018/08/10 00:00:00+00,2016,2016/06/01 00:00:00+00,"Private, Rear Yard",MAPLEWOOD,38,2018/08/10 00:00:00+00,
260,45.46842078,-122.7250448,260,326,76,49,28,privately owned tree,Metasequoia glyptostroboides,Dawn redwood,1S1E19DA  1000,4600 SW MAPLEWOOD RD,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,7.4,2018/08/10 00:00:00+00,2016,2016/06/01 00:00:00+00,"Private, Rear Yard",MAPLEWOOD,38,2018/08/10 00:00:00+00,
261,45.52462644,-122.6044388,261,327,34,39,18,,Prunus x 'Shirotae',Mt. Fuji flowering cherry,1N2E31DA  11200,221 NE 58TH AVE,,,4.7,,2016,2016/06/01 00:00:00+00,"Private, Front Yard",NORTH TABOR,44,,
262,45.5834853,-122.7377994,262,329,106,57,69,"Peninsula Crossing Trail, at N Carey, between N. Princeton St and N. Syracuse St (right-of-way)",Sequoia sempervirens,Coast redwood,1N1E07CA  4600,N Carey & N Princeton,2019/09/06 21:21:28+00,2019/09/06 21:21:14+00,18.6,2019/09/06 21:21:20+00,2016,2016/06/01 00:00:00+00,Right Of Way,UNIVERSITY PARK,64,2019/09/06 22:14:04+00,Good condition 
